id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the SLA for P1 tickets.,5,Retrieved: 1/1 expected sources,3,"The model answer provides the resolution time but omits the initial response time, which is an important detail. Missing: ['SLA phản hồi ban đầu 15 phút']",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the refund request timeframe.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",4,"The answer correctly identifies the need for approval from Line Manager and IT Admin, but it does not explicitly mention the approval from IT Security for Level 3.",5,The answer directly and completely addresses the question by specifying who needs to approve Level 3 access.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately states that digital products are not refundable, but it does not explicitly mention that refunds are possible if there is a manufacturing defect, which is a minor detail.",4,The answer mostly addresses the question but could provide more detail about the conditions under which digital products may be refunded.,5,Retrieved: 1/1 expected sources,3,"The model answer lacks key details about the policy and specific examples of digital products. Missing: ['Specific mention of the policy regarding digital products as non-refundable', 'Clarification that license keys and subscriptions are included in the exception']",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the user's question about the number of failed login attempts before an account is locked.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the escalation process in a P1 incident.,5,Retrieved: 1/1 expected sources,2,"The model answer does not address the automatic escalation process or the specific time frame for response. Missing: ['Automatic escalation to Senior Engineer', '10-minute response time']",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely defines the Approval Matrix and its purpose in the context of system access rights.,5,Retrieved: 1/1 expected sources,3,"The model answer provides a general description but lacks the specific current name of the document. Missing: ['Current name of the document', ""Specific title 'Access Control SOP'""]",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is directly supported by the retrieved context.,5,The answer directly and completely addresses the question about the maximum number of remote work days per week.,5,Retrieved: 1/1 expected sources,3,"The model answer provides the maximum remote days but omits important conditions and context. Missing: ['condition được Team Lead phê duyệt', 'thông tin về probation period']",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền hợp lệ để truy cập tài nguyên. Cách xử lý có thể bao gồm kiểm tra và yêu cầu cấp quyền truy cập phù hợp thông qua quy trình đã được định nghĩa. Nếu cần, liên hệ với IT Helpdesk để được hỗ trợ thêm. [2]","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",4,"The answer is mostly grounded in the context, but it introduces the specific error code ERR-403-AUTH which is not explicitly mentioned in the retrieved context.",5,The answer directly and completely addresses the question about the ERR-403-AUTH error and provides a clear method for resolution.,,No expected sources,4,The model answer provides relevant information but omits the detail about the absence of documentation regarding ERR-403-AUTH. Missing: ['Lack of mention that specific information about ERR-403-AUTH is not found in existing documentation'],baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin nào trong bối cảnh cho thấy quy trình hoàn tiền cho khách hàng VIP khác với quy trình thông thường. Quy trình hoàn tiền vẫn bao gồm các bước như gửi yêu cầu, xem xét, và xử lý bởi Finance Team [1].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Every claim in the answer is directly supported by the retrieved context.,3,The answer is related but does not fully address whether the process for VIP customers is different.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,baseline_dense
